architecture,condition,context,success_rate,avg_time,avg_steps,avg_tokens
plan-then-act,Baseline,context1,33.33333333333333,2.238944257299105,1.5833333333333333,2024.8958333333333
plan-then-act,Baseline,context2,31.25,2.0171882708867392,1.8333333333333333,2056.5625
plan-then-act,Baseline,context3,33.33333333333333,2.1052942872047424,1.8958333333333333,2020.5208333333333
plan-then-act,Baseline,context4,31.25,2.199423144261042,1.6458333333333333,2062.5416666666665
plan-then-act,Baseline,context5,31.25,2.3242855916420617,1.8125,2063.2916666666665
react,Baseline,context1,85.41666666666666,27.610028902689617,9.854166666666666,42162.208333333336
react,Baseline,context2,85.41666666666666,27.32920757929484,9.666666666666666,42261.333333333336
react,Baseline,context3,85.41666666666666,29.70314982533455,9.6875,42628.958333333336
react,Baseline,context4,89.58333333333334,31.26492617527644,10.166666666666666,43409.666666666664
react,Baseline,context5,83.33333333333334,32.93899845083555,9.5625,43578.8125
reference,Baseline,context1,47.91666666666667,47.05445571243763,8.9375,22630.3125
reference,Baseline,context2,47.91666666666667,42.168360049525894,8.958333333333334,22931.729166666668
reference,Baseline,context3,52.083333333333336,32.73243253926436,6.979166666666667,19014.6875
reference,Baseline,context4,33.33333333333333,28.116226702928543,6.520833333333333,20255.583333333332
reference,Baseline,context5,58.333333333333336,42.21944320201874,10.083333333333334,25293.25
reflexion,Baseline,context1,100.0,29.33069063226382,11.333333333333334,0.0
reflexion,Baseline,context2,97.91666666666666,39.810509552558266,12.354166666666666,0.0
reflexion,Baseline,context3,100.0,38.05421914656957,11.791666666666666,0.0
reflexion,Baseline,context4,100.0,32.63487899303436,9.958333333333334,0.0
reflexion,Baseline,context5,97.91666666666666,55.706150283416115,11.1875,0.0
plan-then-act,Perturbado,context1,31.25,1.61573492983977,1.6458333333333333,2062.5
plan-then-act,Perturbado,context2,31.25,1.9804313679536183,1.6041666666666667,2030.6041666666667
plan-then-act,Perturbado,context3,29.166666666666668,2.1518943111101785,1.7916666666666667,2086.0833333333335
plan-then-act,Perturbado,context4,35.41666666666667,1.779751569032669,1.7916666666666667,2017.4375
plan-then-act,Perturbado,context5,27.083333333333332,1.9823856701453526,1.6041666666666667,2030.7291666666667
react,Perturbado,context1,81.25,35.32988403737545,9.479166666666666,41395.770833333336
react,Perturbado,context2,83.33333333333334,32.01541015505791,9.020833333333334,40042.75
react,Perturbado,context3,89.58333333333334,40.59939144551754,9.9375,42777.083333333336
react,Perturbado,context4,85.41666666666666,43.01356675724188,10.3125,45954.604166666664
react,Perturbado,context5,91.66666666666666,37.13756204148134,10.541666666666666,45404.375
reference,Perturbado,context1,47.91666666666667,30.377512340744335,8.833333333333334,22029.854166666668
reference,Perturbado,context2,45.83333333333333,28.857746397455532,8.4375,22655.104166666668
reference,Perturbado,context3,43.75,25.33797413110733,6.5,18545.0
reference,Perturbado,context4,47.91666666666667,41.41094130277634,8.541666666666666,22349.958333333332
reference,Perturbado,context5,52.083333333333336,44.82556128501892,9.541666666666666,24901.604166666668
reflexion,Perturbado,context1,100.0,16.017435669898987,10.75,0.0
reflexion,Perturbado,context2,100.0,31.31926169494788,11.9375,0.0
reflexion,Perturbado,context3,100.0,46.612540915608406,11.541666666666666,0.0
reflexion,Perturbado,context4,97.91666666666666,36.88838250438372,10.416666666666666,0.0
reflexion,Perturbado,context5,100.0,40.71862451235453,11.854166666666666,0.0
